Rank,SMILES,Estimated,Vina,Status,Pose_File,Complex_File
16,COc1ccc(C(=O)Nc2ccccc2C(C)(C)C)c(O)c1C,-10.06,-9.018,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_016_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_016_complex.pdb
12,COc1ccc(C(=O)Nc2ncccc2Cl)c(OC)c1OC,-10.53,-8.898,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_012_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_012_complex.pdb
18,CC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,-9.8,-8.894,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_018_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_018_complex.pdb
8,Cc1ccc(-c2cc(C3=NN(C(N)=O)CC3)sc2C(C)C)cn1,-10.68,-8.532,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_008_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_008_complex.pdb
15,COc1ccc(-c2ccc(C(N)=O)cc2)cc1OC1CCCC1,-10.17,-8.507,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_015_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_015_complex.pdb
19,COc1ccc2c(c1)N(CCN1CCOc3c(F)cccc3C1)C2=O,-9.8,-8.465,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_019_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_019_complex.pdb
11,CC(C)C1CCC(N2CCC(Nc3nc4ccccc4s3)CC2)C1=O,-10.54,-8.393,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_011_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_011_complex.pdb
6,COc1ccc(NC2=C(Cl)C(=O)c3ccccc3C2=O)cc1,-10.76,-8.367,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_006_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_006_complex.pdb
13,Cc1ccc(C(=O)NC(C)C(=O)Nc2ccc(Cl)cc2)cc1,-10.25,-8.32,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_013_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_013_complex.pdb
20,CC(CN1CCOCC1)c1c(O)ncnc1-c1ccccc1,-9.77,-8.23,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_020_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_020_complex.pdb
9,Cc1c(Nc2ccc(F)c(Cl)c2)ncnc1C(=O)N1CCOCC1,-10.65,-8.052,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_009_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_009_complex.pdb
14,Cc1nc(O)c2cc(NC(=O)CCCN(C)C)ccc2n1,-10.24,-7.774,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_014_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_014_complex.pdb
4,CC1CCCC(Nc2ncnc3ccc(Br)cc23)C1,-11.39,-7.769,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_004_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_004_complex.pdb
17,COc1nc(C)cnc1Nc1ccc(C(=O)O)cc1,-9.88,-7.605,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_017_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_017_complex.pdb
7,COc1cc2ncnc(NN3CCCC3)c2cc1OC,-10.75,-7.565,success,C:\DENOVO\docking\vina_results_extended\poses_pdb\mol_007_pose1.pdb,C:\DENOVO\docking\vina_results_extended\complexes\mol_007_complex.pdb
1,COc1cc2ncnc(NC3CCC(C(=O)O)CC3)c2cc1OC,10.0,10.0,success,C:\DENOVO\docking\vina_results\poses_pdb\mol_001_pose1.pdb,C:\DENOVO\docking\vina_results\complexes\mol_001_complex.pdb
2,COc1cc2ncnc(NC3CCCCC3)c2cc1OC,10.0,10.0,success,C:\DENOVO\docking\vina_results\poses_pdb\mol_002_pose1.pdb,C:\DENOVO\docking\vina_results\complexes\mol_002_complex.pdb
3,COc1ccc(O)c(C(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)c1,10.0,10.0,success,C:\DENOVO\docking\vina_results\poses_pdb\mol_003_pose1.pdb,C:\DENOVO\docking\vina_results\complexes\mol_003_complex.pdb
10,CN1CCc2c(Nc3ccc(Br)c(Cl)c3)ncnc21,10.0,10.0,success,C:\DENOVO\docking\vina_results\poses_pdb\mol_010_pose1.pdb,C:\DENOVO\docking\vina_results\complexes\mol_010_complex.pdb
5,CC(=O)Nc1ccc2c(c1)Sc1[nH]c(N(C)C)cc1N2C,10.0,10.0,success,C:\DENOVO\docking\vina_results\poses_pdb\mol_005_pose1.pdb,C:\DENOVO\docking\vina_results\complexes\mol_005_complex.pdb
